,date,cases,deaths,cases_dif,deaths_dif
52,2020-03-13,2224,50,556.0,7.0
53,2020-03-14,2898,60,674.0,10.0
54,2020-03-15,3600,68,702.0,8.0
55,2020-03-16,4507,91,907.0,23.0
56,2020-03-17,5906,117,1399.0,26.0
57,2020-03-18,8350,162,2444.0,45.0
58,2020-03-19,12393,212,4043.0,50.0
59,2020-03-20,18012,277,5619.0,65.0
60,2020-03-21,24528,360,6516.0,83.0
61,2020-03-22,33073,458,8545.0,98.0
62,2020-03-23,43505,579,10432.0,121.0
63,2020-03-24,53938,785,10433.0,206.0
64,2020-03-25,68572,1054,14634.0,269.0
65,2020-03-26,85570,1353,16998.0,299.0
66,2020-03-27,102900,1770,17330.0,417.0
67,2020-03-28,123966,2300,21066.0,530.0
68,2020-03-29,142486,2718,18520.0,418.0
69,2020-03-30,163955,3368,21469.0,650.0
70,2020-03-31,188461,4304,24506.0,936.0
71,2020-04-01,215391,5325,26930.0,1021.0
72,2020-04-02,245108,6541,29717.0,1216.0
73,2020-04-03,277426,7932,32318.0,1391.0
74,2020-04-04,312525,9488,35099.0,1556.0
75,2020-04-05,338141,10856,25616.0,1368.0
76,2020-04-06,369057,12382,30916.0,1526.0
77,2020-04-07,399394,14616,30337.0,2234.0
78,2020-04-08,431214,16701,31820.0,2085.0
79,2020-04-09,465913,18821,34699.0,2120.0
80,2020-04-10,499386,21084,33473.0,2263.0
81,2020-04-11,531106,23168,31720.0,2084.0
82,2020-04-12,558249,24849,27143.0,1681.0
83,2020-04-13,584018,26613,25769.0,1764.0
84,2020-04-14,610709,29318,26691.0,2705.0
85,2020-04-15,640742,32070,30033.0,2752.0
86,2020-04-16,672355,34419,31613.0,2349.0
87,2020-04-17,703864,36708,31509.0,2289.0
88,2020-04-18,732262,38659,28398.0,1951.0
89,2020-04-19,757596,40179,25334.0,1520.0
90,2020-04-20,784991,42016,27395.0,1837.0
91,2020-04-21,810505,44688,25514.0,2672.0
92,2020-04-22,839336,47059,28831.0,2371.0
93,2020-04-23,873112,49228,33776.0,2169.0
94,2020-04-24,909853,51360,36741.0,2132.0
95,2020-04-25,944261,53327,34408.0,1967.0
96,2020-04-26,970996,54580,26735.0,1253.0
97,2020-04-27,994193,56022,23197.0,1442.0
98,2020-04-28,1018844,58416,24651.0,2394.0
99,2020-04-29,1045399,60930,26555.0,2514.0
100,2020-04-30,1075756,63140,30357.0,2210.0
101,2020-05-01,1109726,64902,33970.0,1762.0
102,2020-05-02,1139200,66485,29474.0,1583.0
103,2020-05-03,1165340,67816,26140.0,1331.0
104,2020-05-04,1187302,68905,21962.0,1089.0
105,2020-05-05,1211011,71139,23709.0,2234.0
106,2020-05-06,1235517,73847,24506.0,2708.0
107,2020-05-07,1263995,75805,28478.0,1958.0
108,2020-05-08,1291643,77380,27648.0,1575.0
109,2020-05-09,1316511,78834,24868.0,1454.0
110,2020-05-10,1336828,79766,20317.0,932.0
111,2020-05-11,1354449,80748,17621.0,982.0
112,2020-05-12,1376749,82400,22300.0,1652.0
113,2020-05-13,1397894,84168,21145.0,1768.0
114,2020-05-14,1424856,85906,26962.0,1738.0
115,2020-05-15,1451093,87499,26237.0,1593.0
116,2020-05-16,1474752,88724,23659.0,1225.0
117,2020-05-17,1493766,89568,19014.0,844.0
118,2020-05-18,1515593,90414,21827.0,846.0
119,2020-05-19,1536570,91934,20977.0,1520.0
120,2020-05-20,1559640,93411,23070.0,1477.0
121,2020-05-21,1585373,94722,25733.0,1311.0
122,2020-05-22,1609172,96010,23799.0,1288.0
123,2020-05-23,1631440,97060,22268.0,1050.0
124,2020-05-24,1651471,97680,20031.0,620.0
125,2020-05-25,1670571,98190,19100.0,510.0
126,2020-05-26,1689467,98937,18896.0,747.0
127,2020-05-27,1708211,100422,18744.0,1485.0
128,2020-05-28,1730723,101622,22512.0,1200.0
129,2020-05-29,1755271,102812,24548.0,1190.0
130,2020-05-30,1778668,103775,23397.0,963.0
131,2020-05-31,1799302,104379,20634.0,604.0
132,2020-06-01,1821199,105113,21897.0,734.0
133,2020-06-02,1841990,106195,20791.0,1082.0
134,2020-06-03,1861977,107184,19987.0,989.0
135,2020-06-04,1883593,108192,21616.0,1008.0
136,2020-06-05,1912302,109304,28709.0,1112.0
137,2020-06-06,1934818,110032,22516.0,728.0
138,2020-06-07,1953434,110422,18616.0,390.0
139,2020-06-08,1971641,111144,18207.0,722.0
140,2020-06-09,1990446,112174,18805.0,1030.0
141,2020-06-10,2013298,113103,22852.0,929.0
142,2020-06-11,2036500,113980,23202.0,877.0
143,2020-06-12,2061993,114759,25493.0,779.0
144,2020-06-13,2087327,115451,25334.0,692.0
145,2020-06-14,2106457,115768,19130.0,317.0
146,2020-06-15,2126574,116216,20117.0,448.0
147,2020-06-16,2151459,116985,24885.0,769.0
148,2020-06-17,2177114,117746,25655.0,761.0
149,2020-06-18,2205173,118473,28059.0,727.0
150,2020-06-19,2236009,119171,30836.0,698.0
151,2020-06-20,2268034,119717,32025.0,546.0
152,2020-06-21,2294413,119974,26379.0,257.0
153,2020-06-22,2324879,120334,30466.0,360.0
154,2020-06-23,2359939,121167,35060.0,833.0
155,2020-06-24,2396928,121934,36989.0,767.0
156,2020-06-25,2438101,124400,41173.0,2466.0
157,2020-06-26,2483629,125033,45528.0,633.0
158,2020-06-27,2525928,125544,42299.0,511.0
159,2020-06-28,2565436,125815,39508.0,271.0
160,2020-06-29,2604932,126162,39496.0,347.0
161,2020-06-30,2653321,127462,48389.0,1300.0
162,2020-07-01,2703296,128104,49975.0,642.0
163,2020-07-02,2758855,128827,55559.0,723.0
164,2020-07-03,2816009,129418,57154.0,591.0
165,2020-07-04,2866015,129679,50006.0,261.0
166,2020-07-05,2910782,129941,44767.0,262.0
167,2020-07-06,2958098,130332,47316.0,391.0
168,2020-07-07,3012182,131290,54084.0,958.0
169,2020-07-08,3071637,132238,59455.0,948.0
170,2020-07-09,3131526,133079,59889.0,841.0
171,2020-07-10,3199753,133907,68227.0,828.0
172,2020-07-11,3260474,134582,60721.0,675.0
173,2020-07-12,3318279,134977,57805.0,395.0
174,2020-07-13,3379846,135402,61567.0,425.0
175,2020-07-14,3445448,136356,65602.0,954.0
176,2020-07-15,3513790,137327,68342.0,971.0
177,2020-07-16,3589477,138285,75687.0,958.0
178,2020-07-17,3660400,139186,70923.0,901.0
179,2020-07-18,3722851,139961,62451.0,775.0
180,2020-07-19,3785126,140373,62275.0,412.0
181,2020-07-20,3845014,140904,59888.0,531.0
182,2020-07-21,3910291,142031,65277.0,1127.0
183,2020-07-22,3980030,143167,69739.0,1136.0
184,2020-07-23,4050036,144283,70006.0,1116.0
185,2020-07-24,4123561,145429,73525.0,1146.0
186,2020-07-25,4190337,146313,66776.0,884.0
187,2020-07-26,4244554,146753,54217.0,440.0
188,2020-07-27,4303735,148449,59181.0,1696.0
189,2020-07-28,4366851,149776,63116.0,1327.0
190,2020-07-29,4433633,151172,66782.0,1396.0
191,2020-07-30,4502581,152433,68948.0,1261.0
192,2020-07-31,4571669,153862,69088.0,1429.0
193,2020-08-01,4628497,154917,56828.0,1055.0
194,2020-08-02,4679291,155337,50794.0,420.0
195,2020-08-03,4726775,155945,47484.0,608.0
196,2020-08-04,4780324,157301,53549.0,1356.0
197,2020-08-05,4834047,158554,53723.0,1253.0
198,2020-08-06,4891561,159625,57514.0,1071.0
199,2020-08-07,4952718,160981,61157.0,1356.0
200,2020-08-08,5007958,161947,55240.0,966.0
201,2020-08-09,5056438,162486,48480.0,539.0
202,2020-08-10,5103611,163023,47173.0,537.0
203,2020-08-11,5156968,164474,53357.0,1451.0
204,2020-08-12,5211246,165952,54278.0,1478.0
205,2020-08-13,5265307,167165,54061.0,1213.0
206,2020-08-14,5324784,168341,59477.0,1176.0
207,2020-08-15,5375527,169400,50743.0,1059.0
208,2020-08-16,5417664,169914,42137.0,514.0
209,2020-08-17,5455187,170449,37523.0,535.0
210,2020-08-18,5498420,171798,43233.0,1349.0
